Count;DISTRICT;HUMAN INSTINCT;TYPE OF LAND;VLAND ID;COORDINATES;xy1_x;xy2_x;y3_x;xy4_x;Position X;Position Y;Cluster
1;District 1 Alpha;Curiosity;Deluxe;0989D;"1136, 16";"1120, 32";"1120, 0";"1152, 0";"1152, 32";1136.0000;16.0000;18
2;District 1 Alpha;Curiosity;Deluxe;0990D;"1136, -16";"1120, 0";"1120, -32";"1152, -32";"1152, 0";1136.0000;-16.0000;18
3;District 1 Alpha;Curiosity;Deluxe;0991D;"1104, 16";"1088, 32";"1088, 0";"1120, 0";"1120, 32";1104.0000;16.0000;18
4;District 1 Alpha;Curiosity;Deluxe;0992D;"1104, -16";"1088, 0";"1088, -32";"1120, -32";"1120, 0";1104.0000;-16.0000;18
5;District 1 Alpha;Curiosity;Deluxe;0985D;"-1136, 16";"-1120, 32";"-1120, 0";"-1152, 0";"-1152, 32";-1136.0000;16.0000;17
6;District 1 Alpha;Curiosity;Deluxe;0988D;"-1104, -16";"-1088, 0";"-1088, -32";"-1120, -32";"-1120, 0";-1104.0000;-16.0000;17
7;District 1 Alpha;Curiosity;Deluxe;0986D;"-1136, -16";"-1120, 0";"-1120, -32";"-1152, -32";"-1152, 0";-1136.0000;-16.0000;17
8;District 1 Alpha;Curiosity;Deluxe;0987D;"-1104, 16";"-1088, 32";"-1088, 0";"-1120, 0";"-1120, 32";-1104.0000;16.0000;17
9;District 1 Alpha;Curiosity;Deluxe;0997D;"1904, -122";"1920, -106";"1920, -138";"1888, -138";"1888, -106";1904.0000;-122.0000;20
10;District 1 Alpha;Curiosity;Deluxe;0998D;"1904, -154";"1920, -138";"1920, -170";"1888, -170";"1888, -138";1904.0000;-154.0000;20
11;District 1 Alpha;Curiosity;Deluxe;0999D;"1936, -122";"1952, -106";"1952, -138";"1920, -138";"1920, -106";1936.0000;-122.0000;20
12;District 1 Alpha;Curiosity;Deluxe;1000D;"1936, -154";"1952, -138";"1952, -170";"1920, -170";"1920, -138";1936.0000;-154.0000;20
