Count,File Name,Type,District,ID,_1_XY,_2_XY,_3_XY,_4_XY,Position X,Position Y
1,District 1 Alpha,Deluxe,?,"1104, 1312","1088, 1296","1088, 1328","1120, 1328","1120, 1296",1104.0000,1312.0000
1,District 1 Alpha,Deluxe,?,"1104, -1312","1088, -1296","1088, -1328","1120, -1328","1120, -1296",1104.0000,-1312.0000
1,District 1 Alpha,Deluxe,?,"-1104, 1312","-1088, 1296","-1088, 1328","-1120, 1328","-1120, 1296",-1104.0000,1312.0000
1,District 1 Alpha,Deluxe,?,"-1104, -1312","-1088, -1296","-1088, -1328","-1120, -1328","-1120, -1296",-1104.0000,-1312.0000
1,District 1 Alpha,Deluxe,?,"1104, 1344","1088, 1328","1088, 1360","1120, 1360","1120, 1328",1104.0000,1344.0000
1,District 1 Alpha,Deluxe,?,"1104, -1344","1088, -1328","1088, -1360","1120, -1360","1120, -1328",1104.0000,-1344.0000
1,District 1 Alpha,Deluxe,?,"-1104, 1344","-1088, 1328","-1088, 1360","-1120, 1360","-1120, 1328",-1104.0000,1344.0000
1,District 1 Alpha,Deluxe,?,"-1104, -1344","-1088, -1328","-1088, -1360","-1120, -1360","-1120, -1328",-1104.0000,-1344.0000
1,District 1 Alpha,Deluxe,?,"1104, 16","1088, 32","1088, 0","1120, 0","1120, 32",1104.0000,16.0000
1,District 1 Alpha,Deluxe,?,"1104, -16","1088, 0","1088, -32","1120, -32","1120, 0",1104.0000,-16.0000
1,District 1 Alpha,Deluxe,?,"-1104, 16","-1088, 32","-1088, 0","-1120, 0","-1120, 32",-1104.0000,16.0000
1,District 1 Alpha,Deluxe,?,"-1104, -16","-1088, 0","-1088, -32","-1120, -32","-1120, 0",-1104.0000,-16.0000
1,District 1 Alpha,Deluxe,?,"1136, 1312","1120, 1296","1120, 1328","1152, 1328","1152, 1296",1136.0000,1312.0000
1,District 1 Alpha,Deluxe,?,"1136, -1312","1120, -1296","1120, -1328","1152, -1328","1152, -1296",1136.0000,-1312.0000
1,District 1 Alpha,Deluxe,?,"-1136, 1312","-1120, 1296","-1120, 1328","-1152, 1328","-1152, 1296",-1136.0000,1312.0000
